index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
7003,YYZ,ORD,13:30:00,2,0:56:00,14:26:00,2,AA3604,AA,American Airlines,15183,,,182.196,,
7004,YYZ,ORD,13:30:00,1,0:56:00,14:26:00,1,AA3604,AA,American Airlines,15183,,,182.196,,
7005,YYZ,ORD,18:30:00,1,1:00:00,19:30:00,1,AA3608,AA,American Airlines,15183,,,182.196,,
7006,YYZ,LHR,23:50:00,6,12:00:00,11:50:00,0,AC858,AC,Air Canada,36601,125934,455778,439.212,1511.208,5469.336
7007,YYZ,LHR,23:50:00,2,12:00:00,11:50:00,3,AC858,AC,Air Canada,37249,234245,459156,446.988,2810.94,5509.872
7008,YYZ,LHR,20:35:00,1,12:00:00,8:35:00,2,AC856,AC,Air Canada,37249,103989,458708,446.988,1247.868,5504.496
7009,YYZ,LHR,20:35:00,3,12:00:00,8:35:00,4,AC856,AC,Air Canada,37249,,,446.988,,
7010,YYZ,LHR,20:35:00,5,12:00:00,8:35:00,6,AC856,AC,Air Canada,37249,125934,459156,446.988,1511.208,5509.872
7011,YYZ,LHR,23:50:00,0,12:00:00,11:50:00,1,AC858,AC,Air Canada,37249,125781,458708,446.988,1509.372,5504.496
7012,YYZ,LHR,23:50:00,5,12:00:00,11:50:00,6,AC858,AC,Air Canada,37249,125934,459156,446.988,1511.208,5509.872
7013,YYZ,LHR,20:35:00,2,12:00:00,8:35:00,3,AC856,AC,Air Canada,37249,,459156,446.988,,5509.872
7014,YYZ,LHR,23:50:00,1,12:00:00,11:50:00,2,AC858,AC,Air Canada,37249,103989,458708,446.988,1247.868,5504.496
7015,YYZ,LHR,20:35:00,6,12:00:00,8:35:00,0,AC856,AC,Air Canada,43503,,455778,522.036,,5469.336
7016,YYZ,LHR,18:35:00,6,12:00:00,6:35:00,0,AC854,AC,Air Canada,44273,125934,455778,531.276,1511.208,5469.336
7017,YYZ,LHR,18:35:00,3,12:00:00,6:35:00,4,AC854,AC,Air Canada,44273,,,531.276,,
7018,YYZ,LHR,21:55:00,6,12:05:00,10:00:00,0,AA6921,AA,American Airlines,57030,,,684.36,,
7019,YYZ,LHR,21:55:00,6,12:05:00,10:00:00,0,AY5998,AY,Finnair,57746,241877,,692.952,2902.524,
7020,YYZ,LHR,21:55:00,6,12:05:00,10:00:00,0,BA98,BA,British Airways,57748,,,692.976,,
7021,YYZ,LHR,18:35:00,5,12:00:00,6:35:00,6,AA6917,AA,American Airlines,58038,,,696.456,,
7022,YYZ,LHR,21:55:00,5,12:05:00,10:00:00,6,AA6921,AA,American Airlines,58038,,,696.456,,
7023,YYZ,LHR,23:50:00,6,12:00:00,11:50:00,0,LH6559,LH,Lufthansa,58331,125877,457057,699.972,1510.524,5484.684
7024,YYZ,LHR,18:35:00,5,12:00:00,6:35:00,6,AC854,AC,Air Canada,58595,125934,459156,703.14,1511.208,5509.872
7025,YYZ,LHR,18:35:00,5,12:00:00,6:35:00,6,BA92,BA,British Airways,58770,,,705.24,,
7026,YYZ,LHR,18:35:00,6,12:00:00,6:35:00,0,BA92,BA,British Airways,58770,,,705.24,,
